graph_type,nodes,edges,algorithm,time_seconds,memory_bytes
DIMACS-BAY,100,192,Dijkstra,6.890017539262772e-05,7376
DIMACS-BAY,100,192,Bellman-Ford,0.00024159997701644897,20784
DIMACS-BAY,100,192,BMSSP-like,0.00011060014367103577,13976
DIMACS-BAY,300,614,Dijkstra,0.00014929985627532005,16552
DIMACS-BAY,300,614,Bellman-Ford,0.001148800365626812,60664
DIMACS-BAY,300,614,BMSSP-like,0.00025739986449480057,22824
DIMACS-BAY,500,1008,Dijkstra,0.0001718001440167427,27976
DIMACS-BAY,500,1008,Bellman-Ford,0.0016654999926686287,98992
DIMACS-BAY,500,1008,BMSSP-like,0.00032139988616108894,31752
DIMACS-BAY,1000,2148,Dijkstra,0.00024289963766932487,55624
DIMACS-BAY,1000,2148,Bellman-Ford,0.003107300028204918,201624
DIMACS-BAY,1000,2148,BMSSP-like,0.00046160025522112846,64136
DIMACS-BAY,2000,4364,Dijkstra,0.0005501997657120228,110920
DIMACS-BAY,2000,4364,Bellman-Ford,NA,NA
DIMACS-BAY,2000,4364,BMSSP-like,0.0010201996192336082,112632
DIMACS-BAY,5000,12956,Dijkstra,0.0010275999084115028,221512
DIMACS-BAY,5000,12956,Bellman-Ford,NA,NA
DIMACS-BAY,5000,12956,BMSSP-like,0.0021402002312242985,221568
DIMACS-BAY,10000,28110,Dijkstra,0.0013299002312123775,442696
DIMACS-BAY,10000,28110,Bellman-Ford,NA,NA
DIMACS-BAY,10000,28110,BMSSP-like,0.0032608001492917538,442752
